desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km,waktu_menit,status
Desa Bantarpanjang,-7.360889,108.856803,Balai Desa Panimbang,-7.367549798741719,108.86583925009202,1.295,1.7833,ok_azure
Desa Karangjengkol,-7.602037,109.091578,Balai Desa Ciwuni,-7.604368,109.082218,1.306,2.45,ok_azure
Desa Tinggarjaya,-7.480452,108.766832,Balai Desa Tegalsari,-7.485581773,108.7744421,1.44,2.9667,ok_azure
Desa Sampang,-7.566318,109.201228,Balai Desa Karangasem,-7.569695039,109.208944,1.77,4.1,ok_azure
Desa Sampang,-7.566318,109.201228,Balai Desa Karangasem,-7.569695039,109.208944,1.77,4.1,ok_azure
Desa Sampang,-7.566318,109.201228,Balai Desa Karangasem,-7.569695039,109.208944,1.77,4.1,ok_azure
Desa Sampang,-7.566318,109.201228,Balai Desa Sidasari,-7.576864044,109.201582,1.305,2.35,ok_azure
Desa Sampang,-7.566318,109.201228,Balai Desa Sidasari,-7.576864044,109.201582,1.305,2.35,ok_azure
Desa Adipala,-7.659838,109.156697,Balai Desa Adireja Wetan,-7.663377,109.1669,1.239,1.6833,ok_azure
Desa Tegalsari,-7.485648,108.774499,Balai Desa Tinggarjaya,-7.480595869,108.7669981,1.359,3.15,ok_azure
Desa Ciwuni,-7.604209,109.083059,Balai Desa Karangjengkol,-7.602219,109.090462,0.98,2.0333,ok_azure
Desa Sidareja,-7.480474,108.795257,Balai Desa Gunungreja,-7.479329968,108.7856679,1.921,6.0333,ok_azure
Desa Sidareja,-7.480474,108.795257,Balai Desa Gunungreja,-7.479329968,108.7856679,1.921,6.0333,ok_azure
Desa Sidareja,-7.480474,108.795257,Balai Desa Gunungreja,-7.479329968,108.7856679,1.921,6.0333,ok_azure
Desa Adimulya,-7.334996,108.689403,Balai Desa Wanareja,-7.32853370869163,108.68339457787062,1.402,4.45,ok_azure
Desa Klaces,-7.681075,108.848305,Balai Desa Klaces,-7.685966,108.827926,1.912,4.8,ok_azure
Desa Sindangsari,-7.300775,108.767969,Balai Desa Jenang,-7.300138237864985,108.75817866114352,1.319,3.0167,ok_azure
Desa Sindangsari,-7.300775,108.767969,Balai Desa Jenang,-7.300138237864985,108.75817866114352,1.319,3.0167,ok_azure
Desa Sindangsari,-7.300775,108.767969,Balai Desa Jenang,-7.300138237864985,108.75817866114352,1.319,3.0167,ok_azure
Desa Karang Sari,-7.637371,109.143197,Balai Desa Karangsari,-7.632979,109.135353,1.392,3.6833,ok_azure
Desa Caruy,-7.373138,108.812791,Balai Desa Caruy,-7.375954694,108.8028629,2.097,7.3167,ok_azure
Desa Caruy,-7.373138,108.812791,Balai Desa Caruy,-7.375954694,108.8028629,2.097,7.3167,ok_azure
Desa Kesugihan,-7.608235,109.119931,Balai Desa Karangrena,-7.607614387,109.1286205,1.504,3.45,ok_azure
Desa Kesugihan,-7.608235,109.119931,Balai Desa Karangrena,-7.607614387,109.1286205,1.504,3.45,ok_azure
Desa Kesugihan,-7.608235,109.119931,Balai Desa Karangrena,-7.607614387,109.1286205,1.504,3.45,ok_azure
Desa Panisihan,-7.585351,109.158374,Balai Desa Maos Lor,-7.593684279,109.1481188,1.467,2.1667,ok_azure
Desa Pengaweran,-7.382458,108.877978,Balai Desa Pengawaren,-7.38750728,108.8685968,2.25,6.5667,ok_azure
Desa Keleng,-7.59519,109.111505,Balai Desa Pucung Lor,-7.586622826,109.1134249,1.519,5.0667,ok_azure
Desa Karangkandri,-7.669839,109.0852,Balai Desa Kuripan Kidul,-7.6589,109.080926,1.514,3.05,ok_azure
Desa Cilibang,-7.578392,109.019556,Balai Desa Jambusari,-7.567455,109.026833,1.522,1.7833,ok_azure
Desa Panimbang,-7.366119,108.868323,Balai Desa Bantarpanjang,-7.359637040358087,108.85627253527534,2.548,5.5,ok_azure
Desa Karangbenda,-7.672613,109.176723,Balai Desa Adiraja,-7.666087841147282,109.16819716425138,1.513,2.4,ok_azure
Desa Wlahar,-7.667687,109.13421,Balai Desa Bunton,-7.671146035522224,109.14546175880828,1.849,5.2167,ok_azure
Desa Dondong,-7.618474,109.067465,Balai Desa Planjan,-7.623498,109.0785,1.966,5.4167,ok_azure
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Gandrungmanis,-7.525009839,108.855699,1.595,4.5333,ok_azure
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Gandrungmanis,-7.525009839,108.855699,1.595,4.5333,ok_azure
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Gandrungmanis,-7.525009839,108.855699,1.595,4.5333,ok_azure
Desa Bringkeng,-7.635518,108.917016,Balai Desa Grugu,-7.645197858,108.9126578,1.622,3.1,ok_azure
Desa Cisuru,-7.38692,108.701254,Balai Desa Tarisi,-7.39470838816254,108.70133486438638,1.7,2.7667,ok_azure
Desa Kuripan Kidul,-7.65873,109.081864,Balai Desa Karangkandri,-7.669975,109.084671,1.713,4.25,ok_azure
Desa Karang Sari,-7.637371,109.143197,Balai Desa Kalikudi,-7.63321,109.15434,1.707,4.3667,ok_azure
Desa Karang Sari,-7.637371,109.143197,Balai Desa Kalikudi,-7.63321,109.15434,1.707,4.3667,ok_azure
Desa Mujur Lor,-7.599874,109.248844,Balai Desa Mujur,-7.612273016,109.2523055,1.676,3.0333,ok_azure
Desa Karangpucung,-7.41075,108.906193,Balai Desa Karangpucung,-7.413007611,108.9004168,1.516,5.8833,ok_azure
Desa Karangrena,-7.606723,109.133039,Balai Desa Maos Kidul,-7.607706169,109.1458109,1.702,3.8833,ok_azure
Desa Bantarpanjang,-7.360889,108.856803,Balai Desa Cidadap,-7.353239673849244,108.85647850238144,3.462,6.0,ok_azure
Desa Tambaksari,-7.4401,108.881896,Balai Desa Sindangbarang,-7.431525182,108.8898178,1.768,4.8667,ok_azure
Desa Mujur,-7.612107,109.253601,Balai Desa Mujur Lor,-7.599457594,109.2480218,1.822,3.6,ok_azure
Desa Kesugihan Kidul,-7.62259,109.121113,Balai Desa Kesugihan,-7.608925,109.116912,1.823,4.5833,ok_azure
Desa Mulyadadi,-7.317188,108.775789,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,1.736,4.2167,ok_azure
Desa Bantarsari,-7.538556,108.876306,Balai Desa Bantarsari,-7.539932226,108.8705564,4.054,8.9,ok_azure
Desa Bantarsari,-7.538556,108.876306,Balai Desa Bantarsari,-7.539932226,108.8705564,4.054,8.9,ok_azure
Desa Bantarsari,-7.538556,108.876306,Balai Desa Bantarsari,-7.539932226,108.8705564,4.054,8.9,ok_azure
Desa Klumprit,-7.661907,109.35874,Balai Desa Kedungbenda,-7.667346462,109.3745851,2.036,3.3333,ok_azure
Desa Mulyadadi,-7.317188,108.775789,Balai Desa Padangjaya,-7.312561715923866,108.78564673693214,1.804,3.25,ok_azure
Desa Karangpucung,-7.41075,108.906193,Balai Desa Tayemtimur,-7.413687359,108.9086003,1.93,5.0333,ok_azure
Desa Karangbenda,-7.672613,109.176723,Balai Desa Adireja Wetan,-7.663377,109.1669,1.895,3.1333,ok_azure
Desa Mandala,-7.357041,108.888654,Balai Desa Babakan,-7.342641751,108.8939473,1.929,4.5167,ok_azure
Desa Padangjaya,-7.312664,108.785827,Balai Desa Padangsari,-7.328626531601817,108.78025856834626,1.926,4.7167,ok_azure
Desa Mekarsari,-7.400061,108.745623,Balai Desa Pegadingan,-7.406187976,108.7603955,1.933,4.85,ok_azure
Desa Karangkandri,-7.669839,109.0852,Balai Desa Menganti,-7.669045,109.072558,1.979,3.0667,ok_azure
Desa Kedungbenda,-7.66758,109.375326,Balai Desa Klumprit,-7.661985721,109.3585673,1.973,3.2667,ok_azure
Desa Jatisari,-7.514545,108.786467,Balai Desa Jatisari,-7.516566535,108.8002007,1.892,4.7333,ok_azure
Desa Jatisari,-7.514545,108.786467,Balai Desa Jatisari,-7.516566535,108.8002007,1.892,4.7333,ok_azure
Desa Panimbang,-7.366119,108.868323,Balai Desa Ciporos,-7.381721517,108.8713846,2.076,3.4333,ok_azure
Desa Ciklapa,-7.506692,108.810952,Balai Desa Jatisari,-7.516566535,108.8002007,2.018,4.1333,ok_azure
Desa Ciklapa,-7.506692,108.810952,Balai Desa Jatisari,-7.516566535,108.8002007,2.018,4.1333,ok_azure
Desa Ciklapa,-7.506692,108.810952,Balai Desa Jatisari,-7.516566535,108.8002007,2.018,4.1333,ok_azure
