desa_rawan,lat_rawan,lon_rawan,shelter,lat_shelter,lon_shelter,jarak_km_matrix,jarak_km,waktu_menit,jalur_ke,status
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Gandrungmanis,-7.525009839,108.855699,0.81,0.811,1.22,1.0,ok_ors
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Gandrungmanis,-7.525009839,108.855699,0.81,0.372,1.23,2.0,ok_ors
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Gandrungmanis,-7.525009839,108.855699,0.81,0.486,1.32,3.0,ok_ors
Desa Karangreja,-7.353303,108.797002,Balai Desa Karangreja,-7.355527244545825,108.80268215086484,0.88,0.882,1.76,1.0,ok_ors
Desa Adireja Wetan,-7.660906,109.165317,Balai Desa Adireja Kulon,-7.66096,109.159231,0.88,0.878,1.54,1.0,ok_ors
Desa Adireja Wetan,-7.660906,109.165317,Balai Desa Adireja Kulon,-7.66096,109.159231,0.88,0.879,1.72,2.0,ok_ors
Desa Adireja Wetan,-7.660906,109.165317,Balai Desa Adireja Kulon,-7.66096,109.159231,0.88,0.86,2.04,3.0,ok_ors
Desa Pengaweran,-7.382458,108.877978,Balai Desa Ciporos,-7.381721517,108.8713846,0.92,0.922,1.29,1.0,ok_ors
Desa Cilempuyang,-7.342686,108.834565,Balai Desa Cimanggu,-7.347615384867863,108.83824067084493,0.92,0.924,1.93,1.0,ok_ors
Desa Karangreja,-7.624115,109.147071,Balai Desa Klapagada,-7.621023,109.151331,0.93,0.935,1.65,1.0,ok_ors
Desa Adireja Wetan,-7.660906,109.165317,Balai Desa Adiraja,-7.666087841147282,109.16819716425138,0.94,0.936,1.6,1.0,ok_ors
Desa Adireja Wetan,-7.660906,109.165317,Balai Desa Adiraja,-7.666087841147282,109.16819716425138,0.94,0.881,1.92,2.0,ok_ors
Desa Adireja Wetan,-7.660906,109.165317,Balai Desa Adiraja,-7.666087841147282,109.16819716425138,0.94,1.308,2.12,3.0,ok_ors
Kelurahan Gunungsimping,-7.707111,109.027039,SMP Negeri 4 Cilacap,-7.713808,109.0220023,0.98,0.982,1.74,1.0,ok_ors
Desa Nusawengkal,-7.669805,109.34463,Balai Desa Purwadadi,-7.676746425,109.3430598,0.99,0.992,2.22,1.0,ok_ors
Kelurahan Tegalkamulyan,-7.721294,109.023384,Rusunawa,-7.726168476356958,109.02217430815188,1.0,0.999,1.34,1.0,ok_ors
Desa Gunungreja,-7.479295,108.786157,Balai Desa Sidareja,-7.482720383,108.7920794,1.01,1.006,3.44,1.0,ok_ors
Desa Gunungreja,-7.479295,108.786157,Balai Desa Sidareja,-7.482720383,108.7920794,1.01,0.982,3.93,2.0,ok_ors
Desa Gunungreja,-7.479295,108.786157,Balai Desa Sidareja,-7.482720383,108.7920794,1.01,1.046,4.47,3.0,ok_ors
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Kamulyan,-7.526990212,108.8634969,1.01,1.01,3.38,1.0,ok_ors
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Kamulyan,-7.526990212,108.8634969,1.01,0.935,3.74,2.0,ok_ors
Desa Gandrungmangu,-7.519169,108.863969,Balai Desa Kamulyan,-7.526990212,108.8634969,1.01,1.015,3.78,3.0,ok_ors
Desa Tambakreja,-7.538916,108.782982,kelurahan Tambakreja,-7.538736939,108.7836077,1.02,1.024,2.89,1.0,ok_ors
Desa Cimanggu,-7.350939,108.839493,Balai Desa Cimanggu,-7.347615384867863,108.83824067084493,1.03,1.031,2.24,1.0,ok_ors
Desa Tambakreja,-7.538916,108.782982,Balai Desa Tambakreja,-7.538784807,108.7835379,1.03,1.03,2.91,1.0,ok_ors
Desa Gandrungmanis,-7.524044,108.85814,Balai Desa Kamulyan,-7.526990212,108.8634969,1.05,1.052,2.37,1.0,ok_ors
